typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","1960426284.83","true","-1","N/A","0","false","1970982974.178","true","0","false",,"7364672572.867","7364672572.867","6","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","4","AFG","Afghanistan","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","643","false","7","l","643","false","643","false","0","false",,"5385.15","5385.15","0","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","8","ALB","Albania","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","2536006","true","-1","N/A","0","false","2535507","false","0","false",,"10228394.937","10228394.937","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","12","DZA","Algeria","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","238","false","7","l","238","false","238","false","0","false",,"2992.537","2992.537","0","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","20","AND","Andorra","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","1221","false","7","l","1221","false","1221","false","0","false",,"41901.429","41901.429","0","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","24","AGO","Angola","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","613554","true","-1","N/A","0","false","613863","false","0","false",,"1927169.309","1927169.309","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","28","ATG","Antigua and Barbuda","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","81752","false","7","l","81752","false","81752","false","0","false",,"475194.632","475194.632","0","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","31","AZE","Azerbaijan","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","31130","false","7","l","31130","false","31142","false","0","false",,"347170.952","347170.952","0","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","32","ARG","Argentina","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","182479","true","-1","N/A","0","false","182953","false","0","false",,"797236.064","797236.064","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","36","AUS","Australia","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","13853923","true","-1","N/A","0","false","13871435","false","0","false",,"72923075.746","72923075.746","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","40","AUT","Austria","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","39438686.839","true","-1","N/A","0","false","39571290","false","0","false",,"125646595.838","125646595.838","2","false","true",
