country_name,country_code,year,gdp_per_capita,population,region
Monaco,MCO,2024,288001.433369041,38631,Europe & Central Asia
Bermuda,BMU,2024,142855.374713782,64636,North America
Luxembourg,LUX,2024,137781.681659123,677012,Europe & Central Asia
Ireland,IRL,2024,112894.953240805,5395790,Europe & Central Asia
Switzerland,CHE,2024,103998.186685604,9005582,Europe & Central Asia
Singapore,SGP,2024,90674.066632628,6036860,East Asia & Pacific
Norway,NOR,2024,86785.4334489176,5572279,Europe & Central Asia
Iceland,ISL,2024,86040.5309851288,386506,Europe & Central Asia
United States,USA,2024,84534.0407841548,340110988,North America
Qatar,QAT,2024,76688.6941743178,2857822,Middle East & North Africa
Faroe Islands,FRO,2024,74119.6607553879,54681,Europe & Central Asia
"Macao SAR, China",MAC,2024,72004.7437020733,687000,East Asia & Pacific
Denmark,DNK,2024,71026.4832271897,5976992,Europe & Central Asia
Netherlands,NLD,2024,67520.4218956281,17993485,Europe & Central Asia
Australia,AUS,2024,64603.9856308464,27196812,East Asia & Pacific
Austria,AUT,2024,58268.8787651601,9177982,Europe & Central Asia
Sweden,SWE,2024,57117.4877440616,10569709,Europe & Central Asia
Belgium,BEL,2024,56614.5679499036,11858610,Europe & Central Asia
Germany,DEU,2024,56103.7323182554,83516593,Europe & Central Asia
Canada,CAN,2024,54340.3477224733,41288599,North America
Israel,ISR,2024,54176.6844383302,9974400,Middle East & North Africa
"Hong Kong SAR, China",HKG,2024,54074.6928519479,7524100,East Asia & Pacific
United Kingdom,GBR,2024,53246.3676145108,69226000,Europe & Central Asia
Finland,FIN,2024,53149.7671934051,5619911,Europe & Central Asia
United Arab Emirates,ARE,2024,50273.5060469837,10986400,Middle East & North Africa
Andorra,AND,2024,49303.6491674336,81938,Europe & Central Asia
New Zealand,NZL,2024,49205.1792146792,5287500,East Asia & Pacific
France,FRA,2024,46103.0840855884,68551653,Europe & Central Asia
Malta,MLT,2024,43898.5781808597,568847,Middle East & North Africa
Sint Maarten (Dutch part),SXM,2024,41472.5874498583,43350,Latin America & Caribbean
Italy,ITA,2024,40385.3413957669,58952704,Europe & Central Asia
Aruba,ABW,2024,39498.5941293797,107995,Latin America & Caribbean
"Bahamas, The",BHS,2024,39455.4466548546,401283,Latin America & Caribbean
Puerto Rico (US),PRI,2024,39343.7154660139,3203295,Latin America & Caribbean
Cyprus,CYP,2024,38674.29296875,1358282,Europe & Central Asia
Turks and Caicos Islands,TCA,2024,37506.7798431288,46535,Latin America & Caribbean
"Korea, Rep.",KOR,2024,36238.639908315,51751065,East Asia & Pacific
Spain,ESP,2024,35326.7683069278,48848840,Europe & Central Asia
Saudi Arabia,SAU,2024,35121.6628687742,35300280,Middle East & North Africa
Slovenia,SVN,2024,34301.0318686594,2127400,Europe & Central Asia
Brunei Darussalam,BRN,2024,33153.4738913513,462721,East Asia & Pacific
Kuwait,KWT,2024,32717.7186631255,4897263,Middle East & North Africa
Japan,JPN,2024,32487.0778047567,123975371,East Asia & Pacific
Czechia,CZE,2024,31823.3078290564,10905028,Europe & Central Asia
Estonia,EST,2024,31428.3547816104,1372341,Europe & Central Asia
Guyana,GUY,2024,29675.2443873316,831087,Latin America & Caribbean
Bahrain,BHR,2024,29653.5682731534,1588670,Middle East & North Africa
Lithuania,LTU,2024,29384.0189598663,2888278,Europe & Central Asia
Portugal,PRT,2024,29292.242104753,10694681,Europe & Central Asia
New Caledonia,NCL,2024,29213.1923192946,292639,East Asia & Pacific
Barbados,BRB,2024,26544.8707282621,282467,Latin America & Caribbean
Slovak Republic,SVK,2024,25992.6748502048,5422069,Europe & Central Asia
Poland,POL,2024,25103.565661423,36559233,Europe & Central Asia
Greece,GRC,2024,24626.1481858973,10405134,Europe & Central Asia
Croatia,HRV,2024,24050.4397933135,3866200,Europe & Central Asia
St. Kitts and Nevis,KNA,2024,23960.6534357084,46843,Latin America & Caribbean
Uruguay,URY,2024,23906.5133029408,3386588,Latin America & Caribbean
Antigua and Barbuda,ATG,2024,23542.4526945578,93772,Latin America & Caribbean
Latvia,LVA,2024,23409.0845154775,1866124,Europe & Central Asia
Hungary,HUN,2024,23292.3263882478,9562065,Europe & Central Asia
Curacao,CUW,2024,22832.8953958667,155967,Latin America & Caribbean
French Polynesia,PYF,2024,22439.8838746025,281807,East Asia & Pacific
Oman,OMN,2024,20285.2272897377,5281538,Middle East & North Africa
Romania,ROU,2024,20080.2096215595,19051804,Europe & Central Asia
Panama,PAN,2024,19161.2188501596,4515577,Latin America & Caribbean
Trinidad and Tobago,TTO,2024,18733.4110406494,1368333,Latin America & Caribbean
Costa Rica,CRI,2024,18587.1532203482,5129910,Latin America & Caribbean
Seychelles,SYC,2024,17858.8226383978,121354,Sub-Saharan Africa
Bulgaria,BGR,2024,17596.017366352102,6441421,Europe & Central Asia
Chile,CHL,2024,16709.8893972307,19764771,Latin America & Caribbean
Turkiye,TUR,2024,15892.7157287241,85518661,Europe & Central Asia
Russian Federation,RUS,2024,14889.0185546875,143533851,Europe & Central Asia
Mexico,MEX,2024,14185.7812248529,130861007,Latin America & Caribbean
St. Lucia,LCA,2024,14181.6303351598,179744,Latin America & Caribbean
Kazakhstan,KAZ,2024,14154.6324958076,20592571,Europe & Central Asia
Argentina,ARG,2024,13969.7836603737,45696159,Latin America & Caribbean
Serbia,SRB,2024,13679.2065983557,6586476,Europe & Central Asia
Nauru,NRU,2024,13609.158837552,11947,East Asia & Pacific
Maldives,MDV,2024,13379.3513577224,527799,South Asia
China,CHN,2024,13303.1481543868,1408975000,East Asia & Pacific
Montenegro,MNE,2024,13263.3281277699,623525,Europe & Central Asia
Mauritius,MUS,2024,11990.7798944837,1245779,Sub-Saharan Africa
Malaysia,MYS,2024,11874.4273684245,35557673,East Asia & Pacific
Grenada,GRD,2024,11705.0902976658,117207,Latin America & Caribbean
St. Vincent and the Grenadines,VCT,2024,11501.2265187188,100616,Latin America & Caribbean
Albania,ALB,2024,11377.7757431099,2377128,Europe & Central Asia
Dominican Republic,DOM,2024,10875.6618443092,11427557,Latin America & Caribbean
Dominica,DMA,2024,10405.2787777582,66205,Latin America & Caribbean
Brazil,BRA,2024,10310.5488778166,211998573,Latin America & Caribbean
Bosnia and Herzegovina,BIH,2024,9358.78768951134,3164253,Europe & Central Asia
North Macedonia,MKD,2024,9291.85661671864,1824359,Europe & Central Asia
Georgia,GEO,2024,9241.49122313713,3699557,Europe & Central Asia
Armenia,ARM,2024,8556.21406956719,3033500,Europe & Central Asia
Peru,PER,2024,8452.37167056621,34217848,Latin America & Caribbean
Belarus,BLR,2024,8317.6339991379191,9132629,Europe & Central Asia
Gabon,GAB,2024,8230.04311451151,2538952,Sub-Saharan Africa
Colombia,COL,2024,7919.20886825345,52886363,Latin America & Caribbean
Jamaica,JAM,2024,7753.8006955432,2839175,Latin America & Caribbean
Marshall Islands,MHL,2024,7726.33668877794,37548,East Asia & Pacific
Botswana,BWA,2024,7695.75319445165,2521139,Sub-Saharan Africa
Belize,BLZ,2024,7681.24400583113,417072,Latin America & Caribbean
Moldova,MDA,2024,7576.19589413326,2402306,Europe & Central Asia
Thailand,THA,2024,7346.62022142185,71668011,East Asia & Pacific
Azerbaijan,AZE,2024,7283.8499076179,10202830,Europe & Central Asia
Kosovo,XKX,2024,7023.06598512878,1594353,NA
Suriname,SUR,2024,6961.78955961526,634431,Latin America & Caribbean
Ecuador,ECU,2024,6874.705739766,18135478,Latin America & Caribbean
