country_name,country_code,year,gdp_per_capita
Afghanistan,AFG,2023,413.757894705303
Afghanistan,AFG,2022,357.261152798144
Afghanistan,AFG,2021,356.496214115892
Afghanistan,AFG,2020,510.787063366811
Afghanistan,AFG,2019,496.6025042585
Afghanistan,AFG,2018,491.337221382603
Albania,ALB,2024,11377.7757431099
Albania,ALB,2023,9730.86921906893
Albania,ALB,2022,7756.96188744253
Albania,ALB,2021,7242.45513146613
Albania,ALB,2020,6027.91350716348
Albania,ALB,2019,6069.43903131027
Albania,ALB,2018,5897.65452588774
Algeria,DZA,2024,5752.99076651465
Algeria,DZA,2023,5370.477235078
Algeria,DZA,2022,4960.30334332888
Algeria,DZA,2021,4160.55926736925
Algeria,DZA,2020,3743.5419522929
Algeria,DZA,2019,4468.45341883656
Algeria,DZA,2018,4577.21029180491
American Samoa,ASM,2022,18017.4589383973
American Samoa,ASM,2021,15236.1604875571
American Samoa,ASM,2020,14489.2586563775
American Samoa,ASM,2019,12886.1359517218
American Samoa,ASM,2018,12552.0546868861
Andorra,AND,2024,49303.6491674336
Andorra,AND,2023,46812.4261013102
Andorra,AND,2022,42414.0479861228
Andorra,AND,2021,42425.7066454357
Andorra,AND,2020,37361.1070081615
Andorra,AND,2019,41257.816459345
Andorra,AND,2018,42819.7577456133
Angola,AGO,2024,2665.87444776753
Angola,AGO,2023,2916.13663284275
Angola,AGO,2022,3682.1131513698
Angola,AGO,2021,2303.90812662776
Angola,AGO,2020,1759.35619918264
Angola,AGO,2019,2493.67884440177
Angola,AGO,2018,2860.0936483682
Antigua and Barbuda,ATG,2024,23542.4526945578
Antigua and Barbuda,ATG,2023,21494.5474000727
Antigua and Barbuda,ATG,2022,20105.1989085164
Antigua and Barbuda,ATG,2021,17348.6006987182
Antigua and Barbuda,ATG,2020,15369.6082250401
Antigua and Barbuda,ATG,2019,18896.3721832248
Antigua and Barbuda,ATG,2018,18273.4270684912
Argentina,ARG,2024,13969.7836603737
Argentina,ARG,2023,14261.8465667948
Argentina,ARG,2022,13962.1894087223
Argentina,ARG,2021,10738.0179223384
Argentina,ARG,2020,8535.59938004389
Argentina,ARG,2019,9955.97478680428
Argentina,ARG,2018,11752.7998922979
Armenia,ARM,2024,8556.21406956719
Armenia,ARM,2023,8159.08720967996
Armenia,ARM,2022,6571.97445545099
Armenia,ARM,2021,4685.17997128509
Armenia,ARM,2020,4268.68093304583
Armenia,ARM,2019,4597.22887399548
Armenia,ARM,2018,4196.00562301769
Aruba,ABW,2024,39498.5941293797
Aruba,ABW,2023,35718.7531191634
Aruba,ABW,2022,30975.9989121779
Aruba,ABW,2021,26749.3296093118
Aruba,ABW,2020,22759.8071750722
Aruba,ABW,2019,30645.8906024548
Aruba,ABW,2018,30082.1584226798
Australia,AUS,2024,64603.9856308464
Australia,AUS,2023,65058.3773146674
