country_name,country_code,year,export_value_usd
Afghanistan,AFG,2018,5385.15
Afghanistan,AFG,2019,4919.176
Afghanistan,AFG,2020,4667.013
Albania,ALB,2018,10228394.937
Albania,ALB,2019,9849167.032
Albania,ALB,2020,10295386.957
Albania,ALB,2021,14254982.317
Albania,ALB,2022,15226214.425
Albania,ALB,2023,17116000.009
Albania,ALB,2024,20146656.421
Algeria,DZA,2018,2992.537
Algeria,DZA,2022,1151059.025
Algeria,DZA,2023,106953.686
Andorra,AND,2018,41901.429
Andorra,AND,2019,41384.217
Andorra,AND,2020,37121.37
Andorra,AND,2021,34379.895
Andorra,AND,2022,107155.069
Andorra,AND,2023,215116.229
Andorra,AND,2024,77971.331
Angola,AGO,2018,1927169.309
Angola,AGO,2019,1070538.684
Angola,AGO,2020,716510.973
Angola,AGO,2021,1448056.165
Angola,AGO,2022,2364413.248
Angola,AGO,2023,633504.472
Angola,AGO,2024,1153202.156
Anguilla,AIA,2018,31433.453
Anguilla,AIA,2019,106947.85
Anguilla,AIA,2020,17403.64
Anguilla,AIA,2021,49185.439
Anguilla,AIA,2022,132856.827
Anguilla,AIA,2023,128293.603
Anguilla,AIA,2024,136897.534
Antigua and Barbuda,ATG,2018,475194.632
Antigua and Barbuda,ATG,2019,416029.71
Antigua and Barbuda,ATG,2020,235637.319
Antigua and Barbuda,ATG,2021,538793.8
Antigua and Barbuda,ATG,2022,691603.377
Antigua and Barbuda,ATG,2023,477000.57
Antigua and Barbuda,ATG,2024,643131.185
"Areas, nes",_X,2018,3638311.426
"Areas, nes",_X,2019,3714670.614
"Areas, nes",_X,2020,1283933.386
"Areas, nes",_X,2021,1077096.763
"Areas, nes",_X,2022,1276102.232
"Areas, nes",_X,2023,841740.589
"Areas, nes",_X,2024,730781.738
Argentina,ARG,2018,797236.064
Argentina,ARG,2019,223289.601
Argentina,ARG,2020,493303.03
Argentina,ARG,2021,454244.426
Argentina,ARG,2022,545108.517
Argentina,ARG,2023,499308.223
Argentina,ARG,2024,702019.665
Armenia,ARM,2018,273089.708
Armenia,ARM,2019,217615.868
Armenia,ARM,2020,169471.047
Armenia,ARM,2021,512305.148
Armenia,ARM,2022,784209.527
Armenia,ARM,2023,1671495.315
Armenia,ARM,2024,1749082.111
Aruba,ABW,2018,1277205.294
Aruba,ABW,2019,1213878.806
Aruba,ABW,2020,577381.22
Aruba,ABW,2021,1195511.54
Aruba,ABW,2022,1488729.599
Aruba,ABW,2023,1344984.63
Aruba,ABW,2024,1766253.041
Australia,AUS,2018,72923075.746
Australia,AUS,2019,71062232.598
Australia,AUS,2020,74356707.175
Australia,AUS,2021,87860484.867
Australia,AUS,2022,86612299.968
Australia,AUS,2023,78967124.436
Australia,AUS,2024,75674582.732
Austria,AUT,2018,125646595.838
Austria,AUT,2019,119664996.932
Austria,AUT,2020,123873356.069
Austria,AUT,2021,136138419.769
Austria,AUT,2022,144202571.268
Austria,AUT,2023,152544604.884
Austria,AUT,2024,173098603.282
Azerbaijan,AZE,2018,347170.952
Azerbaijan,AZE,2019,554651.051
Azerbaijan,AZE,2020,463556.82
Azerbaijan,AZE,2021,905883.275
Azerbaijan,AZE,2022,1161891.736
Azerbaijan,AZE,2023,1570142.601
Azerbaijan,AZE,2024,1795825.122
Bahamas,BHS,2018,1954794.185
Bahamas,BHS,2019,1877218.561
Bahamas,BHS,2020,854575.056
Bahamas,BHS,2021,1490671.481
Bahamas,BHS,2022,2358180.253
Bahamas,BHS,2023,2459704.457
Bahamas,BHS,2024,1863562.905
Bahrain,BHR,2018,339572.694
Bahrain,BHR,2019,344476.639
Bahrain,BHR,2020,321453.931
Bahrain,BHR,2021,538211.892
Bahrain,BHR,2022,661008.102
Bahrain,BHR,2023,629005.313
Bahrain,BHR,2024,594323.264
Bangladesh,BGD,2018,78170.888
Bangladesh,BGD,2019,51822.631
Bangladesh,BGD,2021,59262.386
