country_name,country_code,year,total_imports_usd,italian_exports_usd,italian_market_share_pct
Albania,ALB,2018,9740335.905,10228394.937,105.01070021362884
Albania,ALB,2019,10583282.929,9849167.032,93.06343880320541
Albania,ALB,2020,10054419.091,10295386.957,102.3966363826598
Albania,ALB,2021,15906670.689,14254982.317,89.61637916385483
Albania,ALB,2022,498619.114,15226214.425,3053.676443097607
Albania,ALB,2023,20202083.198,17116000.009,84.72393584981613
Albania,ALB,2024,24023449.014,20146656.421,83.86246458307987
Andorra,AND,2018,17447125.452,41901.429,0.24016236436929356
Andorra,AND,2019,16354867.743,41384.217,0.2530391419258816
Andorra,AND,2020,13037920.583,37121.37,0.28471848531124005
Andorra,AND,2021,16368220.037,34379.895,0.2100405231740837
Andorra,AND,2022,18041656.11,107155.069,0.5939314459087093
Andorra,AND,2023,19604600.263,215116.229,1.097274242341944
Angola,AGO,2018,62449000.903,1927169.309,3.0859890168513813
Angola,AGO,2019,56184904.938,1070538.684,1.9053848808346985
Angola,AGO,2020,38404034.507,716510.973,1.8657179699945319
Angola,AGO,2021,34133234.624,1448056.165,4.242364314285739
Angola,AGO,2022,61216208.293,2364413.248,3.8623974171728763
Angola,AGO,2023,59154135.682,633504.472,1.070938599129543
Angola,AGO,2024,50869267.77,1153202.156,2.2669918529476014
Antigua and Barbuda,ATG,2018,4762857.811,475194.632,9.977090454023633
Antigua and Barbuda,ATG,2019,4313225.745,416029.71,9.645442520189725
Antigua and Barbuda,ATG,2020,3337642.745,235637.319,7.059992246114405
Antigua and Barbuda,ATG,2021,4576360.466,538793.8,11.773412605999033
Antigua and Barbuda,ATG,2022,5809852.483,691603.377,11.903974825930188
Antigua and Barbuda,ATG,2023,4462086.096,477000.57,10.690079925342616
Antigua and Barbuda,ATG,2024,5236364.998,643131.185,12.282015964235503
Argentina,ARG,2018,10794555.57,797236.064,7.385538559972414
Argentina,ARG,2019,4561845.63,223289.601,4.894720670326584
Argentina,ARG,2020,4896975.58,493303.03,10.073626505607365
Argentina,ARG,2021,6921093.46,454244.426,6.563188730585353
Argentina,ARG,2022,7739474.18,545108.517,7.043224181930148
Argentina,ARG,2023,7140651.79,499308.223,6.992474044165651
Argentina,ARG,2024,10104215.08,702019.665,6.947790198860257
Armenia,ARM,2018,1519278.13,273089.708,17.974964728808413
Armenia,ARM,2019,1509186.4,217615.868,14.419416183448247
Armenia,ARM,2020,1596796.13,169471.047,10.613192493145634
Armenia,ARM,2021,2548869.8,512305.148,20.099306288614667
Armenia,ARM,2022,4533313.42,784209.527,17.298815553767735
Armenia,ARM,2023,8409990.03,1671495.315,19.875116486909796
Armenia,ARM,2024,7780906.38,1749082.111,22.479156355046648
Aruba,ABW,2018,11684985.101,1277205.294,10.930311703099193
Aruba,ABW,2019,12848009.086,1213878.806,9.447991497162926
Aruba,ABW,2020,6985347.821,577381.22,8.265604445124737
Aruba,ABW,2021,11585251.233,1195511.54,10.319254334292262
Aruba,ABW,2022,14709914.318,1488729.599,10.120586475329054
Aruba,ABW,2023,13865469.637,1344984.63,9.700245755909407
Australia,AUS,2018,644503395.896,72923075.746,11.314614664616476
Australia,AUS,2019,603352749.892,71062232.598,11.777891558581631
Australia,AUS,2020,619984347.362,74356707.175,11.993320071931459
Australia,AUS,2021,757784684.901,87860484.867,11.59438645536607
Australia,AUS,2022,776940851.796,86612299.968,11.147862770735298
Australia,AUS,2023,678454810.059,78967124.436,11.639260753289204
Australia,AUS,2024,631388758.138,75674582.732,11.98541813686523
Austria,AUT,2018,255996855.512,125646595.838,49.08130437254931
Austria,AUT,2019,266515879.819,119664996.932,44.899762450653434
Austria,AUT,2020,230624239.68,123873356.069,53.712201389099015
Austria,AUT,2021,267530328.811,136138419.769,50.88709768871723
Austria,AUT,2022,276648714.923,144202571.268,52.12479346167797
Austria,AUT,2023,332896619.807,152544604.884,45.823416582733465
Austria,AUT,2024,324064980.319,173098603.282,53.41478215622276
Azerbaijan,AZE,2018,2537931.85,347170.952,13.679285832675136
Azerbaijan,AZE,2019,3178095.04,554651.051,17.45231165270627
Azerbaijan,AZE,2020,2821208.97,463556.82,16.43114086653425
Azerbaijan,AZE,2021,3754629.07,905883.275,24.127104385307497
Azerbaijan,AZE,2022,4422275.42,1161891.736,26.27361766626467
Azerbaijan,AZE,2023,6551306.49,1570142.601,23.96686223422284
Azerbaijan,AZE,2024,6117272.03,1795825.122,29.35663336848533
Bahamas,BHS,2018,19272833.89,1954794.185,10.142743906563084
Bahamas,BHS,2019,20296902.558,1877218.561,9.248793285752347
Bahamas,BHS,2020,7939787,854575.056,10.76319876087356
Bahamas,BHS,2021,18752988,1490671.481,7.9489811490307565
Bahamas,BHS,2022,26864185,2358180.253,8.778156690776214
Bahamas,BHS,2023,24919930,2459704.457,9.870430843906865
Bahamas,BHS,2024,22891959,1863562.905,8.14068776289526
Bahrain,BHR,2018,5349886.252,339572.694,6.347288110528597
Bahrain,BHR,2019,6238701.33,344476.639,5.521608116476383
Bahrain,BHR,2020,7247065.88,321453.931,4.435642456171517
Bahrain,BHR,2021,4826649.001,538211.892,11.15083967963056
Bahrain,BHR,2022,8945019.228,661008.102,7.3896778212716425
Bahrain,BHR,2023,7855407.037,629005.313,8.007291156744676
Bahrain,BHR,2024,8383463.302,594323.264,7.089233203397161
Bangladesh,BGD,2018,819917.109,78170.888,9.533998881343017
Barbados,BRB,2018,10954675,925314.069,8.446750533448048
Barbados,BRB,2019,10171617,952441.523,9.363717912304406
Barbados,BRB,2020,7752571,374802.48,4.834557206893042
Barbados,BRB,2021,8034811.5,1409625.384,17.54397578586629
Barbados,BRB,2022,14819781.5,1394742.903,9.411359425238489
Barbados,BRB,2023,12882350,1207651.621,9.374466778188763
Barbados,BRB,2024,11870346.5,1230375.006,10.365114497710746
Belarus,BLR,2018,58984000,3226278.937,5.469752707513902
Belarus,BLR,2019,76145000,6092750.596,8.001511059163438
Belarus,BLR,2020,80713500,8109312.904,10.047034144226183
Belarus,BLR,2021,83503200,9753216.043,11.680050636382797
Belgium,BEL,2018,1110544357.865,157831235.581,14.21206046054995
Belgium,BEL,2019,1075488929.639,156620716.133,14.562745539888683
Belgium,BEL,2020,1107611101.322,183567036.429,16.57323912787636
Belgium,BEL,2021,1262872951.268,258741720.283,20.488341287475343
Belgium,BEL,2022,1105437767.751,252004214.676,22.796779884651453
Belgium,BEL,2023,1052695926.871,254494991.29,24.17554630865276
Belgium,BEL,2024,1035183250.603,242935030.09,23.467828517172105
Belize,BLZ,2018,2410935.09,177652.091,7.368597011875587
Belize,BLZ,2019,2530501.815,170688.903,6.745259062380874
Belize,BLZ,2020,1520230.13,115990.004,7.629766159153813
Belize,BLZ,2021,1411944.91,131498.25,9.313270586456522
Belize,BLZ,2022,3736606.46,297544.156,7.962951388785
Belize,BLZ,2023,2863173.085,194810.005,6.803989811883832
Belize,BLZ,2024,2561136.29,245133.59,9.571282518510563
Benin,BEN,2018,1537464.767,96008.017,6.2445669689938335
Benin,BEN,2019,2232212.582,56170.851,2.51637552144216
Benin,BEN,2020,2444673.766,53024.165,2.1689669082823544
Benin,BEN,2021,2762335.549,77607.871,2.8095019458477815
Benin,BEN,2022,2926707.703,97140.577,3.319107572663535
Benin,BEN,2023,2719619.579,182045.629,6.693790205280766
Benin,BEN,2024,3065283.415,143654.232,4.686491020602738
Bermuda,BMU,2018,15015695.5,2027936.571,13.505445492018668
Bermuda,BMU,2019,14458197.73,1928135.5,13.335932569238699
Bermuda,BMU,2020,13031358.85,1905708.338,14.624018568869355
Bermuda,BMU,2021,15899374.49,1918364.57,12.065660640967769
Bermuda,BMU,2022,17077814.55,2069062.593,12.115499831329414
Bermuda,BMU,2023,17267536.03,2080161.871,12.046662982987272
Bermuda,BMU,2024,15787167.92,2086810.578,13.218397299469531
Bhutan,BTN,2018,298057.857,30284.384,10.16057228110581
Bhutan,BTN,2019,376761.475,0,0
Bhutan,BTN,2020,207223.88,0,0
Bhutan,BTN,2022,318270.279,53724.435,16.880129419813024
Bhutan,BTN,2023,211924.993,75580.677,35.663880852410834
Bolivia (Plurinational State of),BOL,2018,2620052.82,25737.711,0.9823355774941972
Bolivia (Plurinational State of),BOL,2019,1641188.17,23889.461,1.4556198635041344
Bolivia (Plurinational State of),BOL,2020,1491724.5,15241.463,1.0217344422512333
Bolivia (Plurinational State of),BOL,2021,1498965.56,0,0
Bolivia (Plurinational State of),BOL,2022,2527872,0,0
Bolivia (Plurinational State of),BOL,2023,1948924,3353.014,0.17204436909802537
Bolivia (Plurinational State of),BOL,2024,1732267,3233.742,0.18667688064253374
Bosnia Herzegovina,BIH,2018,18182837.43,181158.344,0.9963150399238874
Bosnia Herzegovina,BIH,2019,19202480.31,257814.512,1.342610474469483
Bosnia Herzegovina,BIH,2020,15783737.68,111099.121,0.7038834733092194
Bosnia Herzegovina,BIH,2021,20215082.7,259892.99,1.2856390144770469
Bosnia Herzegovina,BIH,2022,21202903.16,315399.648,1.4875304840094359
Bosnia Herzegovina,BIH,2023,23479840.691,405829.307,1.728415930673488
Bosnia Herzegovina,BIH,2024,25909348.262,601373.115,2.3210661608266125
Botswana,BWA,2018,9997924.538,49636.678,0.49646982042464377
Botswana,BWA,2019,11442187.988,7008.202,0.06124879269026043
Botswana,BWA,2020,9325528.343,20080.948,0.21533308635615606
Botswana,BWA,2021,12355228.928,21273.95,0.17218580184935284
Botswana,BWA,2022,14889029.793,18200.893,0.12224364685304784
Botswana,BWA,2023,14656746.356,81941.78,0.5590721024278057
Brazil,BRA,2018,392568035,41677700.682,10.616682196756035
Brazil,BRA,2019,388142133,39293238.934,10.123415005296527
Brazil,BRA,2020,438832872,39637213.171,9.032416598681786
Brazil,BRA,2021,497537333,42216640.371,8.485120124844983
Brazil,BRA,2022,485598603,37876047.859,7.799867550072008
Brazil,BRA,2023,490069386,39763344.258,8.113819265992674
Brazil,BRA,2024,544250604,43288854.242,7.953845879792537
Brunei Darussalam,BRN,2018,186070.843,0,0
Brunei Darussalam,BRN,2019,123289.49,6087.956,4.937935910027692
Brunei Darussalam,BRN,2020,209768.73,0,0
Brunei Darussalam,BRN,2021,223196.03,0,0
Brunei Darussalam,BRN,2022,129041.063,0,0
Brunei Darussalam,BRN,2023,114189.806,0,0
Brunei Darussalam,BRN,2024,35987.793,0,0
Bulgaria,BGR,2018,23360555.948,8275261.174,35.42407634655836
Bulgaria,BGR,2019,23260685.825,9677723.572,41.60549540460508
Bulgaria,BGR,2020,23061728.086,8416649.293,36.49617783027051
Bulgaria,BGR,2021,35697381.58,12254555.677,34.329004354386036
Bulgaria,BGR,2022,35673515.537,14781361.402,41.43511279865033
Bulgaria,BGR,2023,43681162.249,16439824.352,37.63595908526074
Bulgaria,BGR,2024,43322418.422,17602114.133,40.630497497945065
Burkina Faso,BFA,2018,3699345.431,64096.278,1.7326383598266362
Burkina Faso,BFA,2019,3391808.942,102741.809,3.029115458944975
Burkina Faso,BFA,2020,2932565.643,111595.976,3.8054041950050896
Burkina Faso,BFA,2021,5456504.073,92809.632,1.7008991610442072
Burkina Faso,BFA,2022,6163816.643,154217.919,2.5019874524518686
Burkina Faso,BFA,2023,3290396.359,99082.05,3.011249685132538
Burkina Faso,BFA,2024,2840780.868,120124.198,4.228562623507503
Burundi,BDI,2018,1001411.521,17341.129,1.7316686133871633
Burundi,BDI,2019,1017111.251,7953.078,0.7819280331606517
Burundi,BDI,2020,1302923.12,0,0
Burundi,BDI,2021,1445278.032,0,0
Burundi,BDI,2022,1910584.388,10492.577,0.5491815522989607
Burundi,BDI,2023,1581776.012,0,0
Cabo Verde,CPV,2018,5614814.18,95389.197,1.6988843075123816
Cabo Verde,CPV,2019,5764618.072,72540.489,1.258374589503941
Cabo Verde,CPV,2020,4010557.635,53927.642,1.3446419901655398
Cabo Verde,CPV,2021,3606465.74,27263.347,0.7559574654381715
Cabo Verde,CPV,2022,4445502.974,139711.121,3.14275171599514
