country_name,country_code,year,population
Afghanistan,AFG,2024,42647492
Afghanistan,AFG,2023,41454761
Afghanistan,AFG,2022,40578842
Afghanistan,AFG,2021,40000412
Afghanistan,AFG,2020,39068979
Afghanistan,AFG,2019,37856121
Afghanistan,AFG,2018,36743039
Albania,ALB,2024,2377128
Albania,ALB,2023,2414095
Albania,ALB,2022,2451636
Albania,ALB,2021,2489762
Albania,ALB,2020,2528480
Albania,ALB,2019,2567801
Albania,ALB,2018,2607733
Algeria,DZA,2024,46814308
Algeria,DZA,2023,46164219
Algeria,DZA,2022,45477389
Algeria,DZA,2021,44761099
Algeria,DZA,2020,44042091
Algeria,DZA,2019,43294546
Algeria,DZA,2018,42505035
American Samoa,ASM,2024,46765
American Samoa,ASM,2023,47521
American Samoa,ASM,2022,48342
American Samoa,ASM,2021,49225
American Samoa,ASM,2020,49761
American Samoa,ASM,2019,50209
American Samoa,ASM,2018,50908
Andorra,AND,2024,81938
Andorra,AND,2023,80856
Andorra,AND,2022,79705
Andorra,AND,2021,78364
Andorra,AND,2020,77380
Andorra,AND,2019,76474
Andorra,AND,2018,75162
Angola,AGO,2024,37885849
Angola,AGO,2023,36749906
Angola,AGO,2022,35635029
Angola,AGO,2021,34532429
Angola,AGO,2020,33451132
Angola,AGO,2019,32375632
Angola,AGO,2018,31297155
Antigua and Barbuda,ATG,2024,93772
Antigua and Barbuda,ATG,2023,93316
Antigua and Barbuda,ATG,2022,92840
Antigua and Barbuda,ATG,2021,92349
Antigua and Barbuda,ATG,2020,91846
Antigua and Barbuda,ATG,2019,91364
Antigua and Barbuda,ATG,2018,90926
Argentina,ARG,2024,45696159
Argentina,ARG,2023,45538401
Argentina,ARG,2022,45407904
Argentina,ARG,2021,45312281
Argentina,ARG,2020,45191965
Argentina,ARG,2019,44973465
Argentina,ARG,2018,44654882
Armenia,ARM,2024,3033500
Armenia,ARM,2023,2964300
Armenia,ARM,2022,2969200
Armenia,ARM,2021,2962300
Armenia,ARM,2020,2961500
Armenia,ARM,2019,2962500
Armenia,ARM,2018,2969000
Aruba,ABW,2024,107995
Aruba,ABW,2023,107359
Aruba,ABW,2022,107310
Aruba,ABW,2021,107700
Aruba,ABW,2020,108587
Aruba,ABW,2019,109203
Aruba,ABW,2018,108908
Australia,AUS,2024,27196812
Australia,AUS,2023,26659922
Australia,AUS,2022,26018721
Australia,AUS,2021,25685412
Australia,AUS,2020,25649248
Australia,AUS,2019,25334826
Australia,AUS,2018,24963258
Austria,AUT,2024,9177982
Austria,AUT,2023,9131761
Austria,AUT,2022,9041851
Austria,AUT,2021,8955797
Austria,AUT,2020,8916864
Austria,AUT,2019,8879920
Austria,AUT,2018,8840521
Azerbaijan,AZE,2024,10202830
Azerbaijan,AZE,2023,10153958
Azerbaijan,AZE,2022,10141756
Azerbaijan,AZE,2021,10137750
Azerbaijan,AZE,2020,10093121
Azerbaijan,AZE,2019,10024283
Azerbaijan,AZE,2018,9939771
"Bahamas, The",BHS,2024,401283
"Bahamas, The",BHS,2023,399440
"Bahamas, The",BHS,2022,397538
"Bahamas, The",BHS,2021,396373
"Bahamas, The",BHS,2020,395863
"Bahamas, The",BHS,2019,394675
"Bahamas, The",BHS,2018,392717
Bahrain,BHR,2024,1588670
Bahrain,BHR,2023,1577059
Bahrain,BHR,2022,1524693
Bahrain,BHR,2021,1504365
Bahrain,BHR,2020,1472204
Bahrain,BHR,2019,1483756
Bahrain,BHR,2018,1503091
Bangladesh,BGD,2024,173562364
Bangladesh,BGD,2023,171466990
Bangladesh,BGD,2022,169384897
Bangladesh,BGD,2021,167658854
Bangladesh,BGD,2020,166298024
Bangladesh,BGD,2019,164913055
Bangladesh,BGD,2018,163523103
Barbados,BRB,2024,282467
Barbados,BRB,2023,282336
Barbados,BRB,2022,282318
Barbados,BRB,2021,282147
Barbados,BRB,2020,281698
Barbados,BRB,2019,281207
Barbados,BRB,2018,280711
Belarus,BLR,2024,9132629
Belarus,BLR,2023,9178298
Belarus,BLR,2022,9228071
Belarus,BLR,2021,9302585
Belarus,BLR,2020,9379952
Belarus,BLR,2019,9419758
Belarus,BLR,2018,9438785
Belgium,BEL,2024,11858610
Belgium,BEL,2023,11779946
Belgium,BEL,2022,11680210
Belgium,BEL,2021,11586195
Belgium,BEL,2020,11538604
Belgium,BEL,2019,11488980
Belgium,BEL,2018,11427054
Belize,BLZ,2024,417072
Belize,BLZ,2023,411106
Belize,BLZ,2022,402733
Belize,BLZ,2021,395346
Belize,BLZ,2020,390812
Belize,BLZ,2019,385829
Belize,BLZ,2018,380226
Benin,BEN,2024,14462724
Benin,BEN,2023,14111034
Benin,BEN,2022,13759501
Benin,BEN,2021,13413417
Benin,BEN,2020,13070169
Benin,BEN,2019,12726755
