country_name,country_code,year,import_value_usd
Albania,ALB,2018,9740335.905
Albania,ALB,2019,10583282.929
Albania,ALB,2020,10054419.091
Albania,ALB,2021,15906670.689
Albania,ALB,2022,498619.114
Albania,ALB,2023,20202083.198
Albania,ALB,2024,24023449.014
Andorra,AND,2018,17447125.452
Andorra,AND,2019,16354867.743
Andorra,AND,2020,13037920.583
Andorra,AND,2021,16368220.037
Andorra,AND,2022,18041656.11
Andorra,AND,2023,19604600.263
Angola,AGO,2018,62449000.903
Angola,AGO,2019,56184904.938
Angola,AGO,2020,38404034.507
Angola,AGO,2021,34133234.624
Angola,AGO,2022,61216208.293
Angola,AGO,2023,59154135.682
Angola,AGO,2024,50869267.77
Antigua and Barbuda,ATG,2018,4762857.811
Antigua and Barbuda,ATG,2019,4313225.745
Antigua and Barbuda,ATG,2020,3337642.745
Antigua and Barbuda,ATG,2021,4576360.466
Antigua and Barbuda,ATG,2022,5809852.483
Antigua and Barbuda,ATG,2023,4462086.096
Antigua and Barbuda,ATG,2024,5236364.998
Argentina,ARG,2018,10794555.57
Argentina,ARG,2019,4561845.63
Argentina,ARG,2020,4896975.58
Argentina,ARG,2021,6921093.46
Argentina,ARG,2022,7739474.18
Argentina,ARG,2023,7140651.79
Argentina,ARG,2024,10104215.08
Armenia,ARM,2018,1519278.13
Armenia,ARM,2019,1509186.4
Armenia,ARM,2020,1596796.13
Armenia,ARM,2021,2548869.8
Armenia,ARM,2022,4533313.42
Armenia,ARM,2023,8409990.03
Armenia,ARM,2024,7780906.38
Aruba,ABW,2018,11684985.101
Aruba,ABW,2019,12848009.086
Aruba,ABW,2020,6985347.821
Aruba,ABW,2021,11585251.233
Aruba,ABW,2022,14709914.318
Aruba,ABW,2023,13865469.637
Australia,AUS,2018,644503395.896
Australia,AUS,2019,603352749.892
Australia,AUS,2020,619984347.362
Australia,AUS,2021,757784684.901
Australia,AUS,2022,776940851.796
Australia,AUS,2023,678454810.059
Australia,AUS,2024,631388758.138
Austria,AUT,2018,255996855.512
Austria,AUT,2019,266515879.819
Austria,AUT,2020,230624239.68
Austria,AUT,2021,267530328.811
Austria,AUT,2022,276648714.923
Austria,AUT,2023,332896619.807
Austria,AUT,2024,324064980.319
Azerbaijan,AZE,2018,2537931.85
Azerbaijan,AZE,2019,3178095.04
Azerbaijan,AZE,2020,2821208.97
Azerbaijan,AZE,2021,3754629.07
Azerbaijan,AZE,2022,4422275.42
Azerbaijan,AZE,2023,6551306.49
Azerbaijan,AZE,2024,6117272.03
Bahamas,BHS,2018,19272833.89
Bahamas,BHS,2019,20296902.558
Bahamas,BHS,2020,7939787
Bahamas,BHS,2021,18752988
Bahamas,BHS,2022,26864185
Bahamas,BHS,2023,24919930
Bahamas,BHS,2024,22891959
Bahrain,BHR,2018,5349886.252
Bahrain,BHR,2019,6238701.33
Bahrain,BHR,2020,7247065.88
Bahrain,BHR,2021,4826649.001
Bahrain,BHR,2022,8945019.228
Bahrain,BHR,2023,7855407.037
Bahrain,BHR,2024,8383463.302
Bangladesh,BGD,2018,819917.109
Barbados,BRB,2018,10954675
Barbados,BRB,2019,10171617
Barbados,BRB,2020,7752571
Barbados,BRB,2021,8034811.5
Barbados,BRB,2022,14819781.5
Barbados,BRB,2023,12882350
Barbados,BRB,2024,11870346.5
Belarus,BLR,2018,58984000
Belarus,BLR,2019,76145000
Belarus,BLR,2020,80713500
Belarus,BLR,2021,83503200
