Country,Market_size_M_USD,Growth_CAGR_pct,Italian_share_pct
"China, Macao SAR",230,11.7,0.1
Romania,143,11.6,29.6
Rep. of Korea,462,11.2,11.5
Luxembourg,243,10.3,7.3
Thailand,125,9.6,18.2
Ukraine,204,8.5,36
Dominican Rep.,93,8.3,6.3
Latvia,172,7.7,50
Colombia,81,5.9,9.8
Brazil,544,5.6,8
Italy,567,5.4,0
Slovakia,114,5.2,32.6
Mexico,349,4.3,17.1
Austria,324,4,53.4
Estonia,109,3.7,21.3
Spain,312,3.2,20.5
Poland,426,3.1,30.3
Czechia,317,3.1,34.8
United Kingdom,4962,2.1,17.9
Norway,499,2.1,19.4
South Africa,56,1.8,9.7
"Other Asia, nes",239,1.8,7.6
Netherlands,1534,1.8,16.8
USA,7106,1.6,28.6
Ireland,358,1.5,17.1
