Country,Market_size_M_USD,Italian_share_pct,Italian_exports_M_USD
Italy,567,0,0
"China, Macao SAR",230,0.1,0
"China, Hong Kong SAR",829,2.8,23
Singapore,704,3.2,23
Malaysia,101,4.6,5
China,1592,5.9,94
New Zealand,146,7.3,11
Luxembourg,243,7.3,18
"Other Asia, nes",239,7.6,18
Brazil,544,8,43
Rep. of Korea,462,11.5,53
Japan,1644,11.7,193
Australia,631,12,76
Portugal,167,12.3,20
Netherlands,1534,16.8,258
Mexico,349,17.1,60
Ireland,358,17.1,61
United Kingdom,4962,17.9,891
Thailand,125,18.2,23
Norway,499,19.4,97
Finland,252,19.6,49
Denmark,783,20.2,158
Spain,312,20.5,64
Estonia,109,21.3,23
Sweden,820,22.8,187
